# SOURCES — every external input the pipeline needs, and where to obtain it.
#
# Reproducibility model: this git repository provides the code (reproduce_paper.sh + src/).
# The data are NOT in git; download the two FigShare deposits and the genome files below,
# extract/place them as indicated, then run ./reproduce_paper.sh (see README.md).
#
# DEPOSITS
#   this-study/32593647   this study (van Zalen et al.)     FigShare  doi:10.17044/scilifelab.32593647
#          -> expression matrices, DESeq2 objects + DE tables, ComPlEx co-expression
#             network output, per-gene annotation, orthology tables, sample metadata,
#             and this study's own inputs (CHS3 PAV, pine drought physiology).
#   Kalman/28737623  Kalman et al. (spruce/pine popgen + genomes)  FigShare  doi:10.17044/scilifelab.28737623
#          -> population-genomic selection/GWAS gene sets, Hi-C TAD / compartment data,
#             and the genome CDS/protein/repeat/annotation files (placed under DATA_ROOT).
#          NOTE: files in the Kalman deposit are gzipped. gunzip them on placement into the repo, since the
#             pipeline reads the UNCOMPRESSED filenames — e.g. Orthogroups/Orthogroups.tsv[.gz],
#             data/popgen/{selection_xpehh_ihs_genes.tsv,pnps_sd_genes.tsv,bio*_genes.uniq.txt}[.gz],
#             data/epigenetics/{conserved_TADs_w_ortho_group_pairs,spruce_PC1_250kb_chromosome_wide}.tsv[.gz].
#   ENA-assembly  raw genome assemblies: Norway spruce Picab02 = ENA GCA_964035815.1;
#          Scots pine Pinsy01 = ENA GCA_965112685.1. ENA umbrella project PRJEB88492. Both
#          assemblies are PUBLIC, so the genome files are obtainable from ENA even while the
#          Kalman FigShare deposit remains embargoed (the popgen/epigenetics inputs are Kalman-only).
#   bioRxiv  Rodriguez et al. wood-formation cliques  bioRxiv doi:10.1101/2025.06.28.661522
#
# NOTE (verify before release): the this-study/32593647 vs Kalman/28737623 split below is my best mapping; please
# confirm which deposit each archive actually lives in, since only you control the deposits.
#
path_or_glob	description	deposit	citation_or_doi
# ── this-study/32593647 this study — expression, DE, network, annotation, orthology, metadata ──────────────
data/expression/{SC,SD,PC,PD}_expression.txt	per-species stress VST expression matrices (cold+drought)	this-study/32593647	10.17044/scilifelab.32593647
data/expression/{SCN,SCR,SDN,SDR,PCN,PCR,PDN,PDR}_expression.txt	per-condition VST expression matrices	this-study/32593647	10.17044/scilifelab.32593647
data/expression/expr_median/{SC,SD,PC,PD}med_expression.txt	per-condition median-collapsed expression	this-study/32593647	10.17044/scilifelab.32593647
data/dds/dds_*.rda	DESeq2 dataset objects (per species/condition; input to the DE_*.Rmd + plot scripts)	this-study/32593647	10.17044/scilifelab.32593647
data/DEG_lists/DE_all_*_01_2L2FC.RData	differential-expression result tables (padj<0.01, |log2FC|>2) per condition	this-study/32593647	10.17044/scilifelab.32593647
results/ComPlEx/	ComPlEx co-expression network output (co_expressologs, weighted_gene_pairs, orthogroup_coexpressolog_presence, per-tissue centrality + comparison tables)	this-study/32593647	10.17044/scilifelab.32593647
results/integration/centrality/centrality_{spruce,pine}_{cold_needle,cold_root,drought_needle,drought_root}.tsv	ComPlEx Python-port per-network node centrality (Genes, Degree); spruce -> build_network_degree.py, pine -> pine_axis_replication.R (identical basis)	this-study/32593647 (genome_analysis_inputs.tar.gz)	10.17044/scilifelab.32593647
data/annotation/gene_annotation.tsv.gz	per-gene functional annotation (P. abies; used by the GO producers; in annotation_and_metadata.tar.gz)	this-study/32593647	10.17044/scilifelab.32593647
data/annotation/Picab02_230926_at01_longest_no_TE_aa_TF_predictions.tsv	Norway spruce PlantTFDB TF predictions	this-study/32593647	10.17044/scilifelab.32593647
data/annotation/Pinsy01_240308_at01_longest_no_TE_aa_TF_predictions.tsv	Scots pine PlantTFDB TF predictions	this-study/32593647	10.17044/scilifelab.32593647
data/annotation/Pinsy01_240308_at01_longest_no_TE.only_PASA.only_gene.cleaned_IDs.bed	Scots pine longest-CDS representative gene models (BED; TSS source for the promoter TE analyses; in annotation_and_metadata.tar.gz)	this-study/32593647	10.17044/scilifelab.32593647
doc/{spruce,pine}_*.csv	per-sample condition metadata (read from doc/; for the PCA in Figure 1)	this-study/32593647	10.17044/scilifelab.32593647
doc/orthologs.tsv.gz	OrthoFinder gene -> orthogroup assignments	this-study/32593647 (curated_inputs.tar.gz)	10.17044/scilifelab.32593647
doc/genes_ortholog_categories.tsv	ComPlEx ortholog table (gene, species, Ortholog_Group, category)	this-study/32593647	10.17044/scilifelab.32593647
